Rank,Name,Team,Bye
1,Aaron Rodgers,GB,10
2,Tom Brady,NE,9
3,Drew Brees,NO,6
4,Matthew Stafford,DET,5
5,Cam Newton,CAR,6
6,Michael Vick,PHI,7
7,Matt Ryan,ATL,7
8,Eli Manning,NYG,11
9,Tony Romo,DAL,5
10,Philip Rivers,SD,7
11,Peyton Manning,DEN,7
12,Ben Roethlisberger,PIT,4
13,Jay Cutler,CHI,6
14,Robert Griffin III,WAS,10
15,Matt Schaub,HOU,8
16,Josh Freeman,TB,5
17,Andrew Luck,IND,4
18,Joe Flacco,BAL,8
19,Carson Palmer,OAK,5
20,Ryan Fitzpatrick,BUF,8
21,Andy Dalton,CIN,8
22,Jake Locker,TEN,11
23,Alex Smith,SF,9
24,Russell Wilson,SEA,11
25,Sam Bradford,STL,9
26,Matt Cassel,KC,7
27,Christian Ponder,MIN,11
28,Mark Sanchez,NYJ,9
29,Matt Flynn,SEA,11
30,Tim Tebow,NYJ,9
31,John Skelton,ARI,10
32,Taylor Yates,HOU,8
33,Brandon Weeden,CLE,10
34,Ryan Tannehill,MIA,7
35,Blaine Gabbert,JAC,6
36,Matt Hasselbeck,TEN,11
37,Kevin Kolb,ARI,10
38,Matt Moore,MIA,7
39,David Garrard,MIA,7
40,Chad Henne,JAC,6
41,Joe Webb,MIN,11
42,Josh Johnson,SF,9
43,Mike Kafka,PHI,7
44,Vince Young,FA,1
45,Kyle Orton,DAL,5
46,Nick Foles,PHI,7
47,Charlie Batch,PIT,4
48,Seneca Wallace,CLE,10
49,Brady Quinn,KC,7
50,Tarvaris Jackson,BUF,8
51,Shaun Hill,DET,5
52,Colt McCoy,CLE,10
53,Graham Harrell,GB,10
54,Jason Campbell,CHI,6
55,Rex Grossman,WAS,10
56,Derek Anderson,CAR,6
57,Colin Kaepernick,SF,9
58,Chase Daniel,NO,6
59,Dan Orlovsky,TB,5
60,Sage Rosenfels,MIN,11
61,Caleb Hanie,DEN,7
62,Brian Hoyer,NE,9
63,Kellen Clemens,STL,9
64,Bruce Gradkowski,CIN,8
65,Drew Stanton,IND,4
66,Brock Osweiler,DEN,7
67,Charlie Whitehurst,SD,7
68,Matt Leinart,OAK,5
69,Byron Leftwich,PIT,4
70,Donovan McNabb,FA,1
71,Tyrod Taylor,BAL,8
72,Ryan Lindley,ARI,10
73,Chris Redman,FA,1
74,Luke McCown,ATL,7
75,Kirk Cousins,WAS,10
76,David Carr,NYG,11
77,Stephen McGee,DAL,5
78,Ryan Mallett,NE,9
79,Jimmy Clausen,CAR,6
80,A.J. Feeley,FA,1
81,Ricky Stanzi,KC,7
82,Terrelle Pryor,OAK,5
