Rank,Player,Best,Worst,Ave,Std Dev,ADP
108,Mikel Leshoure (DET/9),79,116,97.3,11.6,
109,Anthony Dixon (BUF/9),80,150,113,25.2,
110,Ryan Williams (DAL/11),82,119,97.8,12.6,
111,Alfred Blue (HOU/10),83,106,94.8,8.4,
112,Chris Ogbonnaya (CLE/4),85,130,107.7,14.9,
113,DuJuan Harris (GB/9),87,100,94.2,4.9,
114,Daryl Richardson (NYJ/11),89,152,115,22.1,
115,Dan Herron (IND/10),90,139,107.5,18.8,
116,LaMichael James (SF/8),91,128,109.5,18.5,77
117,Mike Gillislee (MIA/5),92,122,108.5,10.7,
118,Anthony Sherman (KC/6),92,104,97.7,4.9,
119,Bruce Miller (SF/8),93,102,97.5,4.5,
120,Michael Ford (CHI/9),94,127,106.3,13.6,
121,Kenjon Barner (CAR/12),94,113,104.7,6.5,
122,Jed Collins (DET/9),96,103,99.5,3.5,
123,Kyle Juszczyk (BAL/11),98,129,116,13.1,
124,Antone Smith (ATL/9),98,121,111.7,9.9,
125,Erik Lorig (NO/6),98,105,101.5,3.5,
126,Marion Grice (SD/10),101,145,126,18.5,
127,Isaiah Pead (STL/4),101,140,117.8,13.5,
128,Cedric Peerman (CIN/4),101,125,111.3,8.7,
129,Stanley Havili (IND/10),101,109,104,3.6,
130,Spencer Ware (SEA/4),103,115,110,5.1,
131,Patrick DiMarco (ATL/9),103,109,106,3,
132,Cyrus Gray (KC/6),104,154,125,20.7,
133,Bradie Ewing (JAC/11),106,118,112,6,
134,Frank Summers (BUF/9),106,112,109,3,
135,Henry Hynoski (NYG/8),107,115,111,4,
136,Tommy Bohanon (NYJ/11),108,111,109.5,1.5,
137,Jackie Battle (TEN/9),110,148,124.8,14.6,
138,Zach Line (MIN/10),114,141,129.3,11.3,
139,Will Johnson (PIT/12),114,124,119,5,
140,Shaun Draughn (CHI/9),116,158,136.3,17.2,
141,Jalen Parmele (ARI/4),120,133,126.5,6.5,
142,Jerome Felton (MIN/10),120,123,121.5,1.5,
143,James Develin (NE/10),123,127,125,2,
144,Darrel Young (WAS/10),124,126,125,1,
145,Jeff Demps (TB/7),128,142,135,7,
146,Derrick Coleman (SEA/4),131,146,138.5,7.5,
147,Jeremy Stewart (OAK/5),132,139,135.5,3.5,
148,Collin Mooney (TEN/9),134,149,141.5,7.5,
149,Tyler Gaffney (CAR/12),134,143,138.5,4.5,
150,Tony Fiammetta (CHI/9),136,145,140.5,4.5,
151,Brennen Clay (DEN/4),137,138,137.5,0.5,
152,Damien Williams (MIA/5),140,156,148,8,
153,Jamize Olawale (OAK/5),142,154,148,6,
154,Matthew Tucker (PHI/7),143,144,143.5,0.5,
155,Alvester Alexander (PIT/12),144,160,152,8,
156,Lonnie Pryor (TB/7),147,153,150,3,
157,Michael Hill (GB/9),147,151,149,2,
158,Evan Royster (WAS/10),148,153,150.5,2.5,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
