Rank,Player,Team,Bye
1,Calvin Johnson,DET,9
2,Dez Bryant,DAL,11
3,A.J. Green,CIN,12
4,Brandon Marshall,CHI,8
5,Julio Jones,ATL,6
6,Demaryius Thomas,DEN,9
7,Larry Fitzgerald,ARI,9
8,Roddy White,ATL,6
9,Andre Johnson,HOU,8
10,Vincent Jackson,TB,5
11,Victor Cruz,NYG,9
12,Randall Cobb,GB,4
13,Marques Colston,NO,7
14,Dwayne Bowe,KC,10
15,Jordy Nelson,GB,4
16,Reggie Wayne,IND,8
17,Hakeem Nicks,NYG,9
18,Danny Amendola,NE,10
19,Wes Welker,DEN,9
20,Torrey Smith,BAL,8
21,Antonio Brown,PIT,5
22,Eric Decker,DEN,9
23,Steve Smith,CAR,4
24,Mike Wallace,MIA,6
25,Pierre Garcon,WAS,5
26,Cecil Shorts,JAC,9
27,James Jones,GB,4
28,Steve Johnson,BUF,12
29,Greg Jennings,MIN,5
30,DeSean Jackson,PHI,12
31,Mike Williams,TB,5
32,Miles Austin,DAL,11
33,Ty Hilton,IND,8
34,Tavon Austin,STL,11
35,Kenny Britt,TEN,8
36,Josh Gordon,CLE,10
37,Anquan Boldin,SF,9
38,Lance Moore,NO,7
39,Danario Alexander,SD,8
40,Denarius Moore,OAK,7
41,Sidney Rice,SEA,12
42,Emmanuel Sanders,PIT,5
43,Justin Blackmon,JAC,9
44,Michael Floyd,ARI,9
45,Kendall Wright,TEN,8
46,Golden Tate,SEA,12
47,Alshon Jeffery,CHI,8
48,Chris Givens,STL,11
49,DeAndre Hopkins,HOU,8
50,Vincent Brown,SD,8
51,Brian Hartline,MIA,6
52,Ryan Broyles,DET,9
53,Percy Harvin,SEA,12
54,Aaron Dobson,NE,10
55,Rueben Randle,NYG,9
56,Malcom Floyd,SD,8
57,Greg Little,CLE,10
58,Darrius Heyward-Bey,IND,8
59,Brandon LaFell,CAR,4
60,Cordarrelle Patterson,MIN,5
61,Santonio Holmes,NYJ,10
62,Andre Roberts,ARI,9
63,Rod Streater,OAK,7
64,Julian Edelman,NE,10
65,Mohamed Sanu,CIN,12
66,Jeremy Kerley,NYJ,10
67,Stephen Hill,NYJ,10
68,Robert Woods,BUF,12
69,Jacoby Jones,BAL,8
70,Jeremy Maclin,PHI,12
71,Brian Quick,STL,11
72,Brandon Lloyd,FA,1
73,Keenan Allen,SD,8
74,Nate Burleson,DET,9
75,A.J. Jenkins,SF,9
76,Jon Baldwin,KC,10
77,Nate Washington,TEN,8
78,Donnie Avery,KC,10
79,Mario Manningham,SF,9
80,Joseph Morgan,NO,7
81,Austin Collie,SF,9
82,Brandon Gibson,MIA,6
83,Jarius Wright,MIN,5
84,Justin Hunter,TEN,8
85,Kenbrell Thompkins,NE,10
86,Braylon Edwards,NYJ,10
87,Santana Moss,WAS,5
88,Leonard Hankerson,WAS,5
89,Michael Crabtree,SF,9
90,Austin Pettis,STL,11
91,Josh Cribbs,OAK,7
92,LaVon Brazill,IND,8
93,Jacoby Ford,OAK,7
94,Andrew Hawkins,CIN,12
95,Kyle Williams,SF,9
96,Terrance Williams,DAL,11
97,Dwayne Harris,DAL,11
98,Marvin Jones,CIN,12
99,Jason Avant,PHI,12
100,Tommy Streeter,BAL,8
101,Markus Wheaton,PIT,5
102,Riley Cooper,PHI,12
103,Tandon Doss,BAL,8
104,Da'Rick Rogers,BUF,12
105,Jerome Simpson,MIN,5
106,Josh Morgan,WAS,5
107,Keshawn Martin,HOU,8
108,Titus Young,FA,1
109,Doug Baldwin,SEA,12
110,Davone Bess,CLE,10
111,Aldrick Robinson,WAS,5
112,Marquise Goodwin,BUF,12
113,Denard Robinson,JAC,9
114,Stedman Bailey,STL,11
115,Dexter McCluster,KC,10
116,Lestar Jean,HOU,8
117,Damaris Johnson,PHI,12
118,Arrelious Benn,PHI,12
119,T.J. Graham,BUF,12
120,Domenik Hixon,CAR,4
121,Robert Meachem,SD,8
122,Kevin Ogletree,TB,5
123,Corey Fuller,DET,9
124,Deonte Thompson,BAL,8
125,Michael Jenkins,NE,10
126,Josh Boyce,NE,10
127,Juron Criner,OAK,7
128,Laurent Robinson,FA,1
129,Eddie Royal,SD,8
130,Devery Henderson,WAS,5
131,Plaxico Burress,PIT,5
132,Quinton Patton,SF,9
133,Russell Shepard,PHI,12
134,Harry Douglas,ATL,6
135,Earl Bennett,CHI,8
136,Tiquan Underwood,TB,5
137,Nick Toon,NO,7
138,Jerricho Cotchery,PIT,5
139,Travis Benjamin,CLE,10
140,Donald Jones,FA,1
141,Ace Sanders,JAC,9
142,Joe Adams,CAR,4
143,Chaz Schilens,DET,9
144,Patrick Edwards,DET,9
145,Richard Goodman,SD,8
146,Jarrett Boykin,GB,4
147,Mohamed Massaquoi,JAC,9
148,Devin Hester,CHI,8
149,Early Doucet,SEA,12
150,Louis Murphy,NYG,9
151,Ricardo Lockette,SF,9
152,Jordan Shipley,JAC,9
153,Courtney Roby,NO,7
154,Cole Beasley,DAL,11
155,Clyde Gates,NYJ,10
156,David Nelson,CLE,10
157,Kenny Stills,NO,7
158,Ryan Swope,FA,1
159,Laron Byrd,ARI,9
160,Ted Ginn Jr.,CAR,4
161,Derek Hagan,TB,5
162,Brad Smith,BUF,12
163,Kris Durham,DET,9
164,Andre Caldwell,DEN,9
165,Marcus Easley,BUF,12
166,Mike Thomas,DET,9
167,Aaron Mellette,BAL,8
168,DeVier Posey,HOU,8
169,Kevin Walter,TEN,8
170,Rishard Matthews,MIA,6
171,Justin Brown,PIT,5
172,Stephen Burton,MIN,5
173,Brice Butler,OAK,7
174,Chris Harper,SEA,12
175,Charles Johnson,GB,4
176,David Gettis,CAR,4
177,Anthony Armstrong,DAL,11
178,Ramses Barden,NYG,9
179,Drew Davis,ATL,6
180,Armanti Edwards,CAR,4
181,Nathan Palmer,IND,8
182,Terrance Copper,KC,10
183,Alan Bonner,HOU,8
184,Dezmon Briscoe,WAS,5
185,Greg Salas,PHI,12
186,Randy Moss,FA,1
187,Chris Givens,NO,7
