Rank,Player,Team,Bye
1,David Johnson,ARI,8
2,Le'Veon Bell,PIT,9
3,Ezekiel Elliott,DAL,6
4,LeSean McCoy,BUF,6
5,Melvin Gordon,LAC,9
6,Jay Ajayi,MIA,11
7,Devonta Freeman,ATL,5
8,Jordan Howard,CHI,9
9,DeMarco Murray,TEN,8
10,Todd Gurley,LAR,8
11,Leonard Fournette,JAC,8
12,Lamar Miller,HOU,7
13,Isaiah Crowell,CLE,9
14,Marshawn Lynch,OAK,10
15,Carlos Hyde,SF,11
16,Joe Mixon,CIN,6
17,Christian McCaffrey,CAR,11
18,C.J. Anderson,DEN,5
19,Spencer Ware,KC,10
20,Eddie Lacy,SEA,6
21,Ty Montgomery,GB,8
22,Mark Ingram,NO,5
23,Tevin Coleman,ATL,5
24,Mike Gillislee,NE,9
25,Bilal Powell,NYJ,11
26,Frank Gore,IND,11
27,Ameer Abdullah,DET,7
28,Dalvin Cook,MIN,9
29,Paul Perkins,NYG,8
30,LeGarrette Blount,PHI,10
31,Adrian Peterson,NO,5
32,Doug Martin,TB,11
33,Danny Woodhead,BAL,10
34,Robert Kelley,WAS,5
35,Samaje Perine,WAS,5
36,Jonathan Stewart,CAR,11
37,Derrick Henry,TEN,8
38,Matt Forte,NYJ,11
39,Theo Riddick,DET,7
40,Kareem Hunt,KC,10
41,C.J. Prosise,SEA,6
42,Kenneth Dixon,BAL,10
43,Latavius Murray,MIN,9
44,James White,NE,9
45,Duke Johnson,CLE,9
46,Terrance West,BAL,10
47,Jamaal Charles,DEN,5
48,Thomas Rawls,SEA,6
49,Jeremy Hill,CIN,6
50,Darren Sproles,PHI,10
51,Giovani Bernard,CIN,6
52,Jamaal Williams,GB,8
53,Joe Williams,SF,11
54,Alvin Kamara,NO,5
55,Dion Lewis,NE,9
56,Marlon Mack,IND,11
57,Shane Vereen,NYG,8
58,Chris Thompson,WAS,5
59,Jacquizz Rodgers,TB,11
60,Rex Burkhead,NE,9
61,T.J. Yeldon,JAC,8
62,Ryan Mathews,PHI,10
63,Charles Sims,TB,11
64,Chris Ivory,JAC,8
65,DeAndre Washington,OAK,10
66,Jonathan Williams,BUF,6
67,Jalen Richard,OAK,10
68,Devontae Booker,DEN,5
69,D'Onta Foreman,HOU,7
70,Zach Zenner,DET,7
71,Jerick McKinnon,MIN,9
72,Tim Hightower,SF,11
73,Wendell Smallwood,PHI,10
74,Jeremy McNichols,TB,11
75,Jeremy Langford,CHI,9
76,Robert Turbin,IND,11
77,Branden Oliver,LAC,9
78,Darren McFadden,DAL,6
79,Matt Jones,WAS,5
80,James Conner,PIT,9
81,Andre Ellington,ARI,8
82,Wayne Gallman,NYG,8
83,Lance Dunbar,LAR,8
84,Kyle Juszczyk,SF,11
85,Benny Cunningham,CHI,9
86,DeAngelo Williams,FA,1
87,Kerwynn Williams,ARI,8
88,Aaron Jones,GB,8
89,Alfred Morris,DAL,6
90,Charcandrick West,KC,10
91,Javorius Allen,BAL,10
92,T.J. Logan,ARI,8
93,Kenyan Drake,MIA,11
94,Andre Williams,LAC,9
95,Dwayne Washington,DET,7
96,Donnel Pumphrey,PHI,10
97,Mike Tolbert,BUF,6
98,Matt Breida,SF,11
99,Rashad Jennings,FA,1
100,Cameron Artis-Payne,CAR,11
101,Shaun Draughn,NYG,8
102,Fozzy Whittaker,CAR,11
103,Matt Asiata,DET,7
104,Damien Williams,MIA,11
105,Elijah Hood,OAK,10
106,Chris Johnson,FA,1
107,James Starks,FA,1
108,Corey Grant,JAC,8
109,Aaron Ripkowski,GB,8
110,Alfred Blue,HOU,7
111,Tarik Cohen,CHI,9
112,Ronnie Hillman,FA,1
113,Travaris Cadet,NO,5
114,Kenjon Barner,LAC,9
115,Brian Hill,ATL,5
116,Ka'Deem Carey,CHI,9
117,De'Angelo Henderson,DEN,5
118,Malcolm Brown,LAR,8
119,Daniel Lasco,NO,5
120,Elijah McGuire,NYJ,11
121,Fitzgerald Toussaint,PIT,9
122,Orleans Darkwa,NYG,8
123,C.J. Spiller,KC,10
124,Karlos Williams,FA,1
125,Josh Ferguson,IND,11
126,Alex Collins,SEA,6
127,Kenneth Farrow,LAC,9
128,Tyler Ervin,HOU,7
129,Matt Dayes,FA,1
130,Terron Ward,ATL,5
131,Akeem Hunt,HOU,7
132,Peyton Barber,TB,11
133,Jamize Olawale,OAK,10
134,Patrick DiMarco,BUF,6
135,Knile Davis,PIT,9
136,Juwan Thompson,DEN,5
137,Kapri Bibbs,SF,11
138,Storm Johnson,MIA,11
139,Mike James,DET,7
140,Brandon Wilds,NYJ,11
141,George Atkinson,CLE,9
142,John Kuhn,NO,5
143,Lorenzo Taliaferro,BAL,10
144,Khalfani Muhammad,TEN,8
