Rank,Player,Best,Worst,Ave,Std Dev,ADP,
108,Marcus Lattimore (SF/9),77,129,104.6,16.8,55,-53
109,Baron Batch (PIT/5),79,114,95,14.4,,
110,Brian Leonard (TB/5),79,105,92.8,8.6,170,60
111,Jackie Battle (TEN/8),80,118,97,15.8,142,31
112,Lance Ball (DEN/9),82,113,101.7,11.7,112,0
113,Armando Allen (CHI/8),83,108,99.3,10.5,118,5
114,Charles Clay (MIA/6),84,91,87.5,3.5,,
115,Michael Smith (TB/5),85,119,101.4,9.4,151,36
116,Chris Ogbonnaya (CLE/10),86,123,103.4,11.4,,
117,Ryan Torain (NYG/9),87,119,103,16,175,58
118,Leon Washington (NE/10),88,111,102.3,7.5,92,-26
119,Anthony Dixon (SF/9),89,120,106.4,11,184,65
120,Kerwynn Williams (IND/8),89,120,111.5,11.1,105,-15
121,Travaris Cadet (NO/7),89,115,104.4,9.1,152,31
122,Michael Robinson (SEA/12),89,114,102.6,9.9,130,8
123,Da'Rel Scott (NYG/9),90,122,105.4,10.1,133,10
124,Chris Thompson (WAS/5),91,127,116.3,14.9,123,-1
125,Tashard Choice (BUF/12),91,112,102.2,7.7,131,6
126,Cedric Peerman (CIN/12),92,118,109.3,12.3,,
127,Jacob Hester (DEN/9),92,112,100.3,8.5,173,46
128,Le'Ron McClain (SD/8),93,121,109.7,8.8,141,13
129,Deji Karim (HOU/8),95,114,106.3,8.2,186,57
130,Cierre Wood (HOU/8),100,124,112,12,124,-6
131,William Powell (FA),100,118,106,8.5,149,18
132,Joe McKnight (NYJ/10),101,122,110,7.5,113,-19
133,Anthony Allen (BAL/8),101,119,111.2,7.6,111,-22
134,Cyrus Gray (KC/10),104,126,117.3,7.3,150,16
135,Terrance Ganaway (STL/11),105,125,118.2,7,134,-1
136,Henry Hynoski (NYG/9),107,109,108,1,193,57
137,Greg Jones (HOU/8),111,115,113,2,,
138,Theo Riddick (DET/9),113,123,118.5,4.2,,
139,Javon Ringer (FA),117,130,123.5,6.5,179,40
140,Darius Reynaud (TEN/8),119,123,121,2,117,-23
