Rank,Player,Team,Bye
1,Adrian Peterson,MIN, 5
2,Le'Veon Bell,PIT, 11
3,Jamaal Charles,KC, 9
4,Eddie Lacy,GB, 7
5,Marshawn Lynch,SEA, 9
6,C.J. Anderson,DEN, 7
7,Jeremy Hill,CIN, 7
8,Matt Forte,CHI, 7
9,DeMarco Murray,PHI, 8
10,LeSean McCoy,BUF, 8
11,Justin Forsett,BAL, 9
12,Lamar Miller,MIA, 5
13,Frank Gore,IND, 10
14,Mark Ingram,NO, 11
15,Alfred Morris,WAS, 8
16,Melvin Gordon,SD, 10
17,Latavius Murray,OAK, 6
18,Jonathan Stewart,CAR, 5
19,Carlos Hyde,SF, 10
20,Andre Ellington,ARI, 9
21,Joseph Randle,DAL, 6
22,T.J. Yeldon,JAC, 8
23,Ameer Abdullah,DET, 9
24,LeGarrette Blount,NE, 4
25,C.J. Spiller,NO, 11
26,Todd Gurley,STL, 6
27,Christopher Ivory,NYJ, 5
28,Doug Martin,TB, 6
29,Giovani Bernard,CIN, 7
30,Rashad Jennings,NYG, 11
31,Joique Bell,DET, 9
32,Tevin Coleman,ATL, 10
33,Isaiah Crowell,CLE, 11
34,Arian Foster,HOU, 9
35,Shane Vereen,NYG, 11
36,Devonta Freeman,ATL, 10
37,Ryan Mathews,PHI, 8
38,Bishop Sankey,TEN, 4
39,Tre Mason,STL, 6
40,Duke Johnson,CLE, 11
41,David Cobb,TEN, 4
42,Danny Woodhead,SD, 10
43,Alfred Blue,HOU, 9
44,Reggie Bush,SF, 10
45,Charles Sims,TB, 6
46,David Johnson,ARI, 9
47,Darren McFadden,DAL, 6
48,Roy Helu,OAK, 6
49,Andre Williams,NYG, 11
50,Darren Sproles,PHI, 8
51,Knile Davis,KC, 9
52,Fred Jackson,BUF, 8
53,Chris Polk,HOU, 9
54,Terrance West,CLE, 11
55,Matt Jones,WAS, 8
56,Jonas Gray,NE, 4
57,Khiry Robinson,NO, 11
58,Ronnie Hillman,DEN, 7
59,Javorius Allen,BAL, 9
60,Lance Dunbar,DAL, 6
61,DeAngelo Williams,PIT, 11
62,Jay Ajayi,MIA, 5
63,Chris Johnson,ARI, 9
64,Montee Ball,DEN, 7
65,James White,NE, 4
66,Denard Robinson,JAC, 8
67,Lorenzo Taliaferro,BAL, 9
68,Stevan Ridley,NYJ, 5
69,Jerick McKinnon,MIN, 5
70,Cameron Artis-Payne,CAR, 5
71,Trent Richardson,OAK, 6
72,Daniel Herron,IND, 10
73,Brandon Bolden,NE, 4
74,Damien Williams,MIA, 5
75,Antone Smith,ATL, 10
76,Branden Oliver,SD, 10
77,Bilal Powell,NYJ, 5
78,Theo Riddick,DET, 9
79,James Starks,GB, 7
80,Karlos Williams,BUF, 8
81,Antonio Andrews,TEN, 4
82,Zac Stacy,NYJ, 5
83,Tyler Gaffney,NE, 4
84,Benny Cunningham,STL, 6
85,Jonathan Grimes,HOU, 9
86,Juwan Thompson,DEN, 7
87,Christine Michael,SEA, 9
88,Robert Turbin,SEA, 9
89,Josh Robinson,IND, 10
90,Mike Davis,SF, 10
91,Toby Gerhart,JAC, 8
92,Ahmad Bradshaw,FA, 1
93,Ka'Deem Carey,CHI, 7
94,Jeremy Langford,CHI, 7
95,Pierre Thomas,F
96,Dexter McCluster,TEN, 4
97,Ryan Williams,DAL, 6
98,Bernard Pierce,JAC, 8
99,Mike Tolbert,CAR, 5
100,Jacquizz Rodgers,CHI, 7
101,Marcel Reece,OAK, 6
102,Travaris Cadet,NE, 4
103,Bryce Brown,BUF, 8
104,Matt Asiata,MIN, 5
105,Fozzy Whittaker,CAR, 5
106,Thomas Rawls,SEA, 9
107,Anthony Dixon,BUF, 8
108,Kendall Hunter,SF, 10
109,Bobby Rainey,TB, 6
110,Zach Zenner,DET, 9
111,Kenny Hilliard,HOU, 9
112,Ben Tate,FA, 1
113,LaMichael James,MIA, 5
114,Dri Archer,PIT, 11
115,Jarryd Hayne,SF, 10
116,Donald Brown,SD, 10
117,Robert Hughes,ARI, 9
118,Vick Ballard,IND, 10
119,Gus Johnson,DAL, 6
120,Charcandrick West,KC, 9
121,Rex Burkhead,CIN, 7
122,Chris Thompson,WAS, 8
123,Darrel Young,WAS, 8
124,Josh Harris,PIT, 11
125,Mike James,TB, 6
126,Kerwynn Williams,ARI, 9
127,Jordan Todman,CAR, 5
128,Bruce Miller,SF, 10
129,Storm Johnson,JAC, 8
130,Stepfan Taylor,ARI, 9
131,Ray Agnew,DAL, 6
132,John Kuhn,GB, 7
133,Jerome Smith,ATL, 10
134,Kyle Juszczyk,BAL, 9
135,John Crockett,GB, 7
136,Fitzgerald Toussaint,BAL, 9
137,Terron Ward,ATL, 10
138,Dion Lewis,NE, 4
139,Erik Lorig,NO, 11
140,Cedric Peerman,CIN, 7
141,Shonn Greene,FA, 1
142,Anthony Sherman,KC, 9
143,Orleans Darkwa,NYG, 11
144,Lache Seastrunk,FA, 1
145,Kenjon Barner,PHI, 8
146,Edwin Baker,NO, 11
147,Zurlon Tipton,IND, 10
148,Joe Banyard,MIN, 5
149,Trey Watts,STL, 6
150,Mike Gillislee,MIA, 5
151,Chase Reynolds,STL, 6
152,Marion Grice,ARI, 9
153,Will Johnson,PIT, 11
154,Jorvorskie Lane,TB, 6
155,George Winn,DET, 9
156,Jeremy Stewart,DEN, 7
157,Patrick DiMarco,ATL, 10
158,Matthew Tucker,PHI, 8
159,James Develin,NE, 4
160,Shaun Draughn,CLE, 11
161,Tommy Bohanon,NYJ, 5
162,Jay Prosch,HOU, 9
163,Rajion Neal,GB, 7
164,Derrick Coleman,SEA, 9
165,Henry Hynoski,NYG, 11
