Rank,Name,Team,Bye
1,Jimmy Graham,NO,6
2,Rob Gronkowski,NE,10
3,Julius Thomas,DEN,4
4,Jordan Cameron,CLE,4
5,Vernon Davis,SF,8
6,Greg Olsen,CAR,12
7,Jason Witten,DAL,11
8,Jordan Reed,WAS,10
9,Kyle Rudolph,MIN,10
10,Dennis Pitta,BAL,11
11,Martellus Bennett,CHI,9
12,Zach Ertz,PHI,7
13,Charles Clay,MIA,5
14,Ladarius Green,SD,10
15,Heath Miller,PIT,12
16,Delanie Walker,TEN,9
17,Antonio Gates,SD,10
18,Eric Ebron,DET,9
19,Tyler Eifert,CIN,4
20,Dwayne Allen,IND,10
21,Jared Cook,STL,4
22,Garrett Graham,HOU,10
23,Coby Fleener,IND,10
24,Jace Amaro,NYJ,11
25,Tim Wright,TB,7
26,Travis Kelce,KC,6
27,Marcedes Lewis,JAC,11
28,Andrew Quarless,GB,9
29,Richard Rodgers,GB,9
30,Jermichael Finley,FA,1
31,Levine Toilolo,ATL,9
32,Adrien Robinson,NYG,8
33,Scott Chandler,BUF,9
34,Brandon Bostick,GB,9
35,Austin Seferian-Jenkins,TB,7
36,Owen Daniels,BAL,11
37,Ryan Griffin,HOU,10
38,Zach Miller,SEA,4
39,Brent Celek,PHI,7
40,Brandon Pettigrew,DET,9
41,Mychal Rivera,OAK,5
42,John Carlson,ARI,4
43,Jermaine Gresham,CIN,4
44,Jeff Cumberland,NYJ,11
45,Robert Housler,ARI,4
46,David Ausberry,OAK,5
47,Brandon Myers,TB,7
48,Gavin Escobar,DAL,11
49,Joseph Fauria,DET,9
50,Luke Willson,SEA,4
51,Troy Niklas,ARI,4
52,Anthony Fasano,KC,6
53,Lance Kendricks,STL,4
54,Fred Davis,FA,1
55,Ed Dickson,CAR,12
56,Taylor Thompson,TEN,9
57,Larry Donnell,NYG,8
58,Vance McDonald,SF,8
59,Benjamin Watson,NO,6
60,Colt Lyerla,GB,9
61,Michael Hoomanawanui,NE,10
62,Clay Harbor,JAC,11
63,Tony Moeaki,BUF,9
64,Chris Gragg,BUF,9
65,Jake Ballard,ARI,4
66,Jacob Tamme,DEN,4
67,Zach Sudfeld,NYJ,11
68,Kellen Davis,NYG,8
69,Demetrius Harris,KC,6
70,Logan Paulsen,WAS,10
71,Jim Dray,CLE,4
72,Dion Sims,MIA,5
73,Gary Barnidge,CLE,4
74,Josh Hill,FA,1
75,D.J. Williams,NE,10
76,Rhett Ellison,MIN,10
77,C.J. Fiedorowicz,HOU,10
78,Virgil Green,DEN,4
79,Bear Pascoe,ATL,9
80,David Paulson,PIT,12
81,Matt Spaeth,PIT,12
82,James Casey,PHI,7
83,Sean McGrath,KC,6
84,Ryan Taylor,GB,9
85,Crockett Gillmore,BAL,11
86,Mickey Shuler,ATL,9
87,James Hanna,DAL,11
88,Craig Stevens,TEN,9
89,Lee Smith,BUF,9
90,John Phillips,SD,10
91,Mike McNeill,CAR,12
92,Dante Rosario,CHI,9
93,Matthew Mulligan,CHI,9
94,Anthony McCoy,SEA,4
95,Weslye Saunders,IND,10
96,Brandon Barden,JAC,11
97,Arthur Lynch,MIA,5
98,Justice Cunningham,STL,4
99,Nick Kasa,OAK,5
100,Garrett Celek,SF,8
101,Niles Paul,WAS,10
102,Luke Stocker,TB,7
