Rank,Name,Team,Bye
1,Arian Foster,HOU,8
2,Ray Rice,BAL,8
3,LeSean McCoy,PHI,7
4,Chris Johnson,TEN,11
5,Darren McFadden,OAK,5
6,Matt Forte,CHI,6
7,DeMarco Murray,DAL,5
8,Jamaal Charles,KC,7
9,Maurice Jones-Drew,JAC,6
10,Marshawn Lynch,SEA,11
11,Steven Jackson,STL,9
12,Ryan Mathews,SD,7
13,Trent Richardson,CLE,10
14,Adrian Peterson,MIN,11
15,Fred Jackson,BUF,8
16,Ahmad Bradshaw,NYG,11
17,Doug Martin,TB,5
18,Darren Sproles,NO,6
19,Michael Turner,ATL,7
20,Frank Gore,SF,9
21,Reggie Bush,MIA,7
22,Willis McGahee,DEN,7
23,Shonn Greene,NYJ,9
24,BenJarvus Green-Ellis,CIN,8
25,Jonathan Stewart,CAR,6
26,Donald Brown,IND,4
27,Stevan Ridley,NE,9
28,DeAngelo Williams,CAR,6
29,Beanie Wells,ARI,10
30,Peyton Hillis,KC,7
31,Kevin Smith,DET,5
32,C.J. Spiller,BUF,8
33,Mark Ingram,NO,6
34,Cedric Benson,GB,10
35,Isaac Redman,PIT,4
36,Ben Tate,HOU,8
37,Ryan Williams,ARI,10
38,Michael Bush,CHI,6
39,David Wilson,NYG,11
40,Rashad Jennings,JAC,6
41,Roy Helu,WAS,10
42,Toby Gerhart,MIN,11
43,Pierre Thomas,NO,6
44,Jacquizz Rodgers,ATL,7
45,Mikel Leshoure,DET,5
46,LeGarrette Blount,TB,5
47,Evan Royster,WAS,10
48,Daniel Thomas,MIA,7
49,Shane Vereen,NE,9
50,Felix Jones,DAL,5
51,Ronnie Hillman,DEN,7
52,James Starks,GB,10
53,Rashard Mendenhall,PIT,4
54,Kendall Hunter,SF,9
55,Alfred Morris,WAS,10
56,Jahvid Best,DET,5
57,Bernard Scott,CIN,8
58,Tim Hightower,WAS,10
59,Isaiah Pead,STL,9
60,Jonathan Dwyer,PIT,4
61,Ronnie Brown,SD,7
62,Robert Turbin,SEA,11
63,Taiwan Jones,OAK,5
64,Brandon Jacobs,SF,9
65,Mike Tolbert,CAR,6
66,Bilal Powell,NYJ,9
67,Joe McKnight,NYJ,9
68,Montario Hardesty,CLE,10
69,Alex Green,GB,10
70,Delone Carter,IND,4
71,Knowshon Moreno,DEN,7
72,Danny Woodhead,NE,9
73,Mike Goodson,OAK,5
74,Vick Ballard,IND,4
75,Brandon Bolden,NE,9
76,James Casey,HOU,8
77,Lamar Miller,MIA,7
78,Chris Rainey,PIT,4
79,Jason Snelling,ATL,7
80,Le'Ron McClain,SD,7
81,LaMichael James,SF,9
82,Danny Ware,NYG,11
83,Joique Bell,DET,5
84,Brandon Jackson,CLE,10
85,Javon Ringer,TEN,11
86,Joseph Addai,FA,1
87,Marcel Reece,OAK,5
88,Bernard Pierce,BAL,8
89,Lance Ball,DEN,7
90,Phillip Tanner,DAL,5
91,Christopher Ivory,NO,6
92,Dexter McCluster,KC,7
93,Daryl Richardson,STL,9
94,Dion Lewis,PHI,7
95,Brandon Saine,GB,10
96,Ryan Grant,FA,1
97,Curtis Brinkley,SD,7
98,Travaris Cadet,NO,6
99,John Kuhn,GB,10
100,Leon Washington,SEA,11
101,Brian Leonard,CIN,8
102,Keiland Williams,DET,5
103,LaRod Stephens-Howling,ARI,10
104,Steve Slaton,MIA,7
105,Kahlil Bell,FA,1
106,Anthony Allen,BAL,8
107,Charles Clay,MIA,7
108,Chris Polk,PHI,7
109,Jackie Battle,SD,7
110,Justin Forsett,HOU,8
111,Bryce Brown,PHI,7
112,Jamie Harper,TEN,11
113,Mewelde Moore,IND,4
114,Terrance Ganaway,NYJ,9
115,Jordan Todman,MIN,11
116,Michael Smith,TB,5
117,Chris Ogbonnaya,CLE,10
118,Deji Karim,IND,4
119,Bobby Rainey,BAL,8
120,Dan Herron,CIN,8
121,Alfonso Smith,ARI,10
122,Tashard Choice,BUF,8
123,Lex Hilliard,MIN,11
124,Cyrus Gray,KC,7
125,Kregg Lumpkin,SEA,11
126,Anthony Dixon,SF,9
127,Da'Rel Scott,NYG,11
128,Tyrell Sutton,FA,1
129,Edwin Baker,SD,7
130,Jacob Hester,SD,7
131,Johnny White,BUF,8
132,Greg Jones,JAC,6
