Rank,Name,Team,Bye
1,Calvin Johnson,DET,5
2,Larry Fitzgerald,ARI,10
3,Julio Jones,ATL,7
4,Andre Johnson,HOU,8
5,A.J. Green,CIN,8
6,Greg Jennings,GB,10
7,Roddy White,ATL,7
8,Hakeem Nicks,NYG,11
9,Brandon Marshall,CHI,6
10,Wes Welker,NE,9
11,Victor Cruz,NYG,11
12,Jordy Nelson,GB,10
13,Percy Harvin,MIN,11
14,Steve Smith,CAR,6
15,Dez Bryant,DAL,5
16,Marques Colston,NO,6
17,Mike Wallace,PIT,4
18,Jeremy Maclin,PHI,7
19,Demaryius Thomas,DEN,7
20,Dwayne Bowe,KC,7
21,Brandon Lloyd,NE,9
22,Vincent Jackson,TB,5
23,Miles Austin,DAL,5
24,Antonio Brown,PIT,4
25,Steve Johnson,BUF,8
26,Eric Decker,DEN,7
27,DeSean Jackson,PHI,7
28,Torrey Smith,BAL,8
29,Reggie Wayne,IND,4
30,Pierre Garcon,WAS,10
31,Kenny Britt,TEN,11
32,Robert Meachem,SD,7
33,Denarius Moore,OAK,5
34,Darrius Heyward-Bey,OAK,5
35,Malcom Floyd,SD,7
36,Santonio Holmes,NYJ,9
37,Anquan Boldin,BAL,8
38,Justin Blackmon,JAC,6
39,Greg Little,CLE,10
40,Titus Young,DET,5
41,Lance Moore,NO,6
42,Michael Crabtree,SF,9
43,Sidney Rice,SEA,11
44,Nate Washington,TEN,11
45,Mike Williams,TB,5
46,Kendall Wright,TEN,11
47,Santana Moss,WAS,10
48,Laurent Robinson,JAC,6
49,Randy Moss,SF,9
50,Austin Collie,IND,4
51,Brandon LaFell,CAR,6
52,Randall Cobb,GB,10
53,Doug Baldwin,SEA,11
54,Jon Baldwin,KC,7
55,Danny Amendola,STL,9
56,Alshon Jeffery,CHI,6
57,Michael Floyd,ARI,10
58,Mario Manningham,SF,9
59,Davone Bess,MIA,7
60,Nate Burleson,DET,5
61,Brian Quick,STL,9
62,Emmanuel Sanders,PIT,4
63,Jerome Simpson,MIN,11
64,Leonard Hankerson,WAS,10
65,Reuben Randle,NYG,11
66,Steve Smith,STL,9
67,James Jones,GB,10
68,Stephen Hill,NYJ,9
69,Vincent Brown,SD,7
70,Devery Henderson,NO,6
71,David Nelson,BUF,8
72,Brian Hartline,MIA,7
73,Steve Breaston,KC,7
74,Eddie Royal,SD,7
75,Jacoby Ford,OAK,5
76,Terrell Owens,FA,1
77,Josh Gordon,CLE,10
78,Andre Roberts,ARI,10
79,Golden Tate,SEA,11
80,Braylon Edwards,SEA,11
81,Lestar Jean,HOU,8
82,Mohamed Sanu,CIN,8
83,Kevin Walter,HOU,8
84,Earl Bennett,CHI,6
85,Donnie Avery,IND,4
86,Brandon Stokley,DEN,7
87,Early Doucet,ARI,10
88,Harry Douglas,ATL,7
89,Juron Criner,OAK,5
90,Donald Jones,BUF,8
91,Plaxico Burress,FA,1
92,Kevin Ogletree,DAL,5
93,Deion Branch,NE,9
94,Jason Avant,PHI,7
95,David Gettis,CAR,6
96,Ty Hilton,IND,4
97,Louis Murphy,CAR,6
98,Danario Alexander,STL,9
99,Andre Caldwell,DEN,7
100,Mohamed Massaquoi,CLE,10
101,Jarius Wright,MIN,11
102,Domenik Hixon,NYG,11
103,Andre Holmes,DAL,5
104,Chaz Schilens,NYJ,9
105,Marvin Jones,CIN,8
106,Dexter McCluster,KC,7
107,Legedu Naanee,MIA,7
108,Jabar Gaffney,FA,1
109,Armon Binns,CIN,8
110,Rod Streater,OAK,5
111,Devin Hester,CHI,6
112,Damian Williams,TEN,11
113,LaVon Brazill,IND,4
114,Brandon Tate,CIN,8
115,Preston Parker,TB,5
116,Cecil Shorts,JAC,6
117,Dwayne Harris,DAL,5
118,Josh Morgan,WAS,10
119,Chad Johnson,FA,1
120,Donald Driver,GB,10
121,Greg Salas,STL,9
122,Brandon Gibson,STL,9
123,Ryan Broyles,DET,5
124,Josh Cribbs,CLE,10
125,Keshawn Martin,HOU,8
126,Chris Givens,STL,9
127,Arrelious Benn,TB,5
128,Mike Thomas,JAC,6
129,Roberto Wallace,MIA,7
130,Jacoby Jones,BAL,8
131,Jordan Shipley,TB,5
132,Stephen Williams,ARI,10
133,A.J. Jenkins,SF,9
134,Jerrel Jernigan,NYG,11
135,Darvin Adams,FA,1
136,Jeremy Kerley,NYJ,9
137,Nick Toon,NO,6
138,Travis Benjamin,CLE,10
139,Marcus Easley,BUF,8
140,DeVier Posey,HOU,8
141,Joe Adams,CAR,6
142,Michael Jenkins,MIN,11
143,T.J. Graham,BUF,8
144,Jordan Norwood,CLE,10
145,Jerricho Cotchery,PIT,4
146,Julian Edelman,NE,9
147,Anthony Armstrong,WAS,10
148,Ramses Barden,NYG,11
149,Dezmon Briscoe,WAS,10
150,Lee Evans,FA,1
151,Brad Smith,BUF,8
152,Ben Obomanu,SEA,11
153,Cole Beasley,DAL,5
154,Riley Cooper,PHI,7
155,Johnny Knox,CHI,6
156,Derek Hagan,BUF,8
157,Danny Coale,DAL,5
158,Devin Aromashodu,MIN,11
159,Adrian Arrington,NO,6
160,Jason Hill,DEN,7
161,Tandon Doss,BAL,8
162,Austin Pettis,STL,9
163,Marvin McNutt,PHI,7
164,Dane Sanzenbacher,CHI,6
165,Roy Williams,FA,1
166,Seyi Ajirotutu,CAR,6
167,Lavelle Hawkins,TEN,11
168,Roscoe Parrish,FA,1
169,Matt Willis,DEN,7
