Rank,Player,Team,Bye
1,Rob Gronkowski,NE, 4
2,Jimmy Graham,SEA, 9
3,Greg Olsen,CAR, 5
4,Travis Kelce,KC, 9
5,Martellus Bennett,CHI, 7
6,Jordan Cameron,MIA, 5
7,Jason Witten,DAL, 6
8,Delanie Walker,TEN, 4
9,Julius Thomas,JAC, 8
10,Zach Ertz,PHI, 8
11,Tyler Eifert,CIN, 7
12,Dwayne Allen,IND, 10
13,Kyle Rudolph,MIN, 5
14,Owen Daniels,DEN, 7
15,Antonio Gates,SD, 10
16,Austin Seferian-Jenkins,TB, 6
17,Larry Donnell,NYG, 11
18,Josh Hill,NO, 11
19,Heath Miller,PIT, 11
20,Vernon Davis,SF, 10
21,Coby Fleener,IND, 10
22,Jordan Reed,WAS, 8
23,Charles Clay,BUF, 8
24,Ladarius Green,SD, 10
25,Eric Ebron,DET, 9
26,Jared Cook,STL, 6
27,Mychal Rivera,OAK, 6
28,Richard Rodgers,GB, 7
29,Jace Amaro,NYJ, 5
30,Maxx Williams,BAL, 9
31,Rob Housler,CLE, 11
32,Benjamin Watson,NO, 11
33,Virgil Green,DEN, 7
34,Darren Fells,ARI, 9
35,Jacob Tamme,ATL, 10
36,Crockett Gillmore,BAL, 9
37,Clive Walford,OAK, 6
38,Scott Chandler,NE, 4
39,Dennis Pitta,BAL, 9
40,Garrett Graham,HOU, 9
41,Brent Celek,PHI, 8
42,Troy Niklas,ARI, 9
43,Lance Kendricks,STL, 6
44,Ed Dickson,CAR, 5
45,Andrew Quarless,GB, 7
46,Jeff Cumberland,NYJ, 5
47,Gavin Escobar,DAL, 6
48,E.J. Bibbs,CLE, 11
49,Dion Sims,MIA, 5
50,Tim Wright,TB, 6
51,Jermaine Gresham,ARI, 9
52,Luke Willson,SEA, 9
53,C.J. Fiedorowicz,HOU, 9
54,Chase Ford,MIN, 5
55,Tony Moeaki,ATL, 10
56,Levine Toilolo,ATL, 10
57,Joseph Fauria,DET, 9
58,Marcedes Lewis,JAC, 8
59,Gary Barnidge,CLE, 11
60,Daniel Fells,NYG, 11
61,MyCole Pruitt,MIN, 5
62,James Casey,DEN, 7
63,Anthony Fasano,TEN, 4
64,Brandon Myers,TB, 6
65,Jack Doyle,IND, 10
66,Rhett Ellison,MIN, 5
67,Tyler Kroft,CIN, 7
68,Derek Carrier,WAS, 8
69,Cooper Helfet,SEA, 9
70,Jesse James,PIT, 11
71,Demetrius Harris,KC, 9
72,Brandon Pettigrew,DET, 9
73,Logan Paulsen,WAS, 8
74,Jim Dray,CLE, 11
75,Matt Spaeth,PIT, 11
76,Chris Gragg,BUF, 8
77,Ryan Griffin,HOU, 9
78,James O'Shaughnessy,KC, 9
79,Vance McDonald,SF, 10
80,Dante Rosario,CHI, 7
81,Je'Ron Hamm,WAS, 8
82,MarQueis Gray,BUF, 8
83,Nick O'Leary,BUF, 8
84,Clay Harbor,JAC, 8
85,Phillip Supernaw,TEN, 4
86,David Johnson,SD, 10
87,Luke Stocker,TB, 6
88,John Phillips,SD, 10
89,Nick Boyle,BAL, 9
90,Lee Smith,OAK, 6
91,Orson Charles,NO, 11
92,Craig Stevens,TEN, 4
93,Trey Burton,PHI, 8
94,Blake Bell,SF, 10
95,C.J. Uzomah,CIN, 7
96,Adrien Robinson,NYG, 11
97,Michael Hoomanawanui,NE, 4
98,Dominique Jones,DEN, 7
99,James Hanna,DAL, 6
100,Gerald Christian,ARI, 9
101,Brandon Williams,CAR, 5
102,Kellen Davis,NYJ, 5
103,Kennard Backman,GB, 7
104,Anthony McCoy,SEA, 9
105,Richard Gordon,KC, 9
106,Gerrell Robinson,DEN, 7
