Rank,Player,Best,Worst,Ave,Std Dev,ADP
108,Ted Ginn Jr. (ARI/4),74,128,92.4,14.5,
109,Ace Sanders (JAC/11),74,123,105.2,13.7,
110,Sidney Rice (SEA/4),75,155,109,30.9,63
111,Jacoby Ford (NYJ/11),75,111,93,18,
112,Danario Alexander (FA,75,75,75,0,
113,Darrius Heyward-Bey (PIT/12),76,171,125.7,31.3,
114,Quinton Patton (SF/8),77,151,103.8,25.2,
115,David Nelson (NYJ/11),77,137,108.1,20.8,
116,Robert Herron (TB/7),78,126,111.5,16.1,
117,A.J. Jenkins (KC/6),79,122,102,13.5,
118,Stedman Bailey (STL/4),79,118,98.8,12.9,
119,Jerome Simpson (MIN/10),79,114,100.8,9.5,
120,Cole Beasley (DAL/11),79,112,91.5,9.3,
121,Josh Huff (PHI/7),80,145,115,22,
122,Jacoby Jones (BAL/11),80,122,98.4,11.8,76
123,Austin Pettis (STL/4),81,152,112.6,23.1,
124,Vincent Brown (SD/10),81,151,109,22.4,
125,Joseph Morgan (NO/6),81,149,125,22.6,
126,Jarius Wright (MIN/10),82,130,103,16.3,
127,Marquise Goodwin (BUF/9),82,121,102.9,12.2,
128,Tiquan Underwood (CAR/12),82,111,99.8,11.3,
129,Jason Avant (CAR/12),84,129,101.9,12.5,
130,Chris Owusu (TB/7),85,180,147.8,33.7,
131,Donte Moncrief (IND/10),85,150,113,24.8,
132,Leonard Hankerson (WAS/10),85,145,122.8,17.1,
133,Ryan Broyles (DET/9),86,139,114.7,16.2,
134,Santana Moss (WAS/10),87,153,119.7,19.6,
135,Jeff Janis (GB/9),88,157,132.4,26.2,
136,DeVier Posey (HOU/10),88,132,117.3,13.4,
137,Greg Little (OAK/5),88,131,109.4,14.5,
138,Junior Hemingway (KC/6),88,128,110.3,14.2,
139,Andre Caldwell (DEN/4),89,145,116.1,17,
140,Aldrick Robinson (WAS/10),92,178,130.2,32.9,
141,Devin Street (DAL/11),92,124,116.2,12.3,
142,LaVon Brazill (IND/10),94,128,105.3,16,
143,Bruce Ellington (SF/8),95,182,134,24.4,
144,Jon Baldwin (SF/8),95,155,125,30,
145,Josh Boyce (NE/10),95,155,135.3,20.5,
146,Kevin Ogletree (DET/9),96,157,126.5,30.5,
147,Shaquelle Evans (NYJ/11),96,149,130.8,20.2,
148,Josh Morgan (CHI/9),96,148,123.7,15.2,
149,Earl Bennett (CLE/4),98,131,114.5,16.5,
150,Rishard Matthews (MIA/5),99,176,133.1,25.3,
151,Dwayne Harris (DAL/11),102,159,136.5,19.1,
152,Kris Durham (DET/9),102,143,118.1,13,
153,T.J. Graham (BUF/9),103,180,133.3,25.6,
154,Drew Davis (ATL/9),105,154,129.9,15.7,
155,Travis Benjamin (CLE/4),105,138,126.5,11.5,
156,Mike Thomas (HOU/10),106,159,130,19.6,
157,Brandon Lloyd (SF/8),107,183,147.5,27.7,
158,Keshawn Martin (HOU/10),107,175,128.6,22,
159,Denard Robinson (JAC/11),108,113,110.5,2.5,
160,Deonte Thompson (BAL/11),109,179,153.3,31.5,
161,Myles White (GB/9),110,151,130.5,20.5,
162,Robert Meachem (NO/6),111,160,131.5,14.8,
163,Jared Abbrederis (GB/9),114,156,140.2,15.5,
164,Mario Manningham (NYG/8),115,158,133.8,14.8,
165,Marcus Easley (BUF/9),120,144,132,12,
166,Lavelle Hawkins (TB/7),121,179,158.3,26.4,
167,Jalen Saunders (NYJ/11),124,168,144.4,15.8,
168,Darius Johnson (ATL/9),124,156,140,16,
169,Damaris Johnson (PHI/7),125,152,136.7,11.3,
170,Jeremy Ross (DET/9),125,139,132,5.7,
171,Dane Sanzenbacher (CIN/4),126,153,138.7,11.1,
172,Michael Preston (TEN/9),126,128,127,1,
173,Devin Hester (ATL/9),128,141,135.7,5.6,78
174,Mike Brown (JAC/11),129,146,137.5,6.1,
175,Isaiah Burse (DEN/4),130,147,138.5,8.5,
176,TJ Jones (DET/9),131,153,142,11,
177,Brice Butler (OAK/5),133,182,155.4,18.3,
178,Kyle Williams (KC/6),133,161,147.7,11.5,
179,Eric Weems (CHI/9),134,141,137.5,3.5,
180,Seyi Ajirotutu (SD/10),135,161,150.7,11.3,
181,Tandon Doss (JAC/11),136,147,141.5,5.5,
182,Griff Whalen (IND/10),138,164,151,13,
183,Marvin McNutt (CAR/12),139,186,156.7,20.9,
184,Marcus Lucas (CAR/12),140,187,163.5,23.5,
185,Chris Hogan (BUF/9),140,181,166.3,18.7,
186,Kevin Norwood (SEA/4),142,184,166.3,17.8,
187,Brandon Tate (CIN/4),142,173,157.5,15.5,
188,Brad Smith (PHI/7),143,149,146,3,
189,Jeff Maehl (PHI/7),150,167,158.5,8.5,
190,Walter Powell (ARI/4),154,166,160,6,
191,Brittan Golden (ARI/4),155,165,160,5,
192,Juron Criner (OAK/5),158,181,169.3,9.4,
193,Alan Bonner (HOU/10),158,174,166,8,
194,Trindon Holliday (NYG/8),162,166,164,2,
195,Adam Thielen (MIN/10),165,168,166.5,1.5,
196,Marc Mariani (TEN/9),170,177,173.5,3.5,
197,Derek Hagan (TEN/9),171,176,173.5,2.5,
