Rank,Player,Team,Bye
1,Peyton Manning,DEN,4
2,Aaron Rodgers,GB,9
3,Drew Brees,NO,6
4,Matthew Stafford,DET,9
5,Andrew Luck,IND,10
6,Robert Griffin III,WAS,10
7,Nick Foles,PHI,7
8,Matt Ryan,ATL,9
9,Cam Newton,CAR,12
10,Tom Brady,NE,10
11,Tony Romo,DAL,11
12,Colin Kaepernick,SF,8
13,Jay Cutler,CHI,9
14,Russell Wilson,SEA,4
15,Philip Rivers,SD,10
16,Ben Roethlisberger,PIT,12
17,Andy Dalton,CIN,4
18,Ryan Tannehill,MIA,5
19,Alex Smith,KC,6
20,Carson Palmer,ARI,4
21,Eli Manning,NYG,8
22,Johnny Manziel,CLE,4
23,Josh McCown,TB,7
24,Joe Flacco,BAL,11
25,Jake Locker,TEN,9
26,Sam Bradford,STL,4
27,E.J. Manuel,BUF,9
28,Teddy Bridgewater,MIN,10
29,Geno Smith,NYJ,11
30,Ryan Fitzpatrick,HOU,10
31,Brian Hoyer,CLE,4
32,Michael Vick,NYJ,11
33,Matt Schaub,OAK,5
34,Chad Henne,JAC,11
35,Matt Cassel,MIN,10
36,Mike Glennon,TB,7
37,Kirk Cousins,WAS,10
38,Derek Carr,OAK,5
39,Tom Savage,HOU,10
40,Blake Bortles,JAC,11
41,Thaddeus Lewis,BUF,9
42,Charlie Whitehurst,TEN,9
43,Jordan Palmer,CHI,9
44,Matt Flynn,GB,9
45,Drew Stanton,ARI,4
46,Case Keenum,HOU,10
47,Mark Sanchez,PHI,7
48,Chase Daniel,KC,6
49,Ryan Mallett,NE,10
50,Brock Osweiler,DEN,4
51,Shaun Hill,STL,4
52,Jason Campbell,CIN,4
53,Bruce Gradkowski,PIT,12
54,Brandon Weeden,DAL,11
55,Tyrod Taylor,BAL,11
56,Tarvaris Jackson,SEA,4
57,Derek Anderson,CAR,12
58,Dan Orlovsky,DET,9
59,Zach Mettenberger,TEN,9
60,Matt Moore,MIA,5
61,Tajh Boyd,NYJ,11
62,Matt Hasselbeck,IND,10
63,AJ McCarron,CIN,4
64,Taylor Yates,ATL,9
65,Kellen Clemens,SD,10
66,Luke McCown,NO,6
67,Blaine Gabbert,SF,8
68,Aaron Murray,KC,6
69,Ryan Nassib,NYG,8
70,Jimmy Garoppolo,NE,10
71,David Paulson,PIT,5
72,James Hanna,DAL,11
73,Virgil Green,DEN,9
74,Hayden Smith,NYJ,10
75,Logan Paulsen,WAS,5
76,Niles Paul,WAS,5
77,Kellen Davis,CLE,10
78,Michael Egnew,MIA,6
79,Jeff King,ARI,9
80,John Carlson,MIN,5
81,Lee Smith,BUF,12
82,Charles Clay,MIA,6
83,D.J. Williams,GB,4
84,Steve Maneri,CHI,8
85,Dion Sims,MIA,6
86,Andrew Quarless,GB,4
87,Chase Coffman,ATL,6
88,Gary Barnidge,CLE,10
89,Dorin Dickerson,BUF,12
90,Ben Hartsock,CAR,4
91,Bear Pascoe,NYG,9
