year,name,price,profile_id,positsion
2014,Jason Witten,4,2505629,TE
2014,Kyle Rudolph,2,2495438,TE
2014,Martellus Bennett,1,1062,TE
2014,Dennis Pitta,1,497254,TE
2014,Kyle Rudolph,1,2495438,TE
2014,A.J. Green,40,2495450,WR
2014,Dez Bryant,37,497278,WR
2014,Demaryius Thomas,37,497328,WR
2014,Brandon Marshall,36,2495893,WR
2014,Julio Jones,29,2495454,WR
2014,Jordy Nelson,26,1032,WR
2014,Alshon Jeffery,24,2533039,WR
2014,Vincent Jackson,22,2506400,WR
2014,Randall Cobb,17,2495448,WR
2014,Antonio Brown,17,2508061,WR
2014,Cordarrelle Patterson,15,2540145,WR
2014,Michael Crabtree,12,71269,WR
2014,Keenan Allen,9,2540154,WR
2014,Kelvin Benjamin,9,2543471,WR
2014,Larry Fitzgerald,8,2506106,WR
2014,Pierre Garcon,7,2346,WR
2014,Victor Cruz,6,2507855,WR
2014,Brandin Cooks,6,2543498,WR
2014,DeSean Jackson,5,1581,WR
2014,Jeremy Maclin,5,80429,WR
2014,Emmanuel Sanders,5,497322,WR
2014,Mike Wallace,5,2507763,WR
2014,Julian Edelman,4,238498,WR
2014,Michael Floyd,4,2532841,WR
2014,Eric Decker,3,497284,WR
2014,Torrey Smith,2,2495459,WR
2014,T.Y. Hilton,2,2532865,WR
2014,Sammy Watkins,2,2543457,WR
2014,Terrance Williams,1,2539205,WR
2014,Justin Hunter,1,2540151,WR
2014,Mike Evans,1,2543468,WR
2015,Andrew Luck,70,2533031,QB
2015,Aaron Rodgers,69,2506363,QB
2015,Russell Wilson,59,2532975,QB
2015,Ben Roethlisberger,52,2506109,QB
2015,Drew Brees,50,2504775,QB
2015,Matt Ryan,45,310,QB
2015,Ryan Tannehill,42,2532956,QB
2015,Tony Romo,40,2505354,QB
2015,Philip Rivers,40,2506121,QB
2015,Cam Newton,39,2495455,QB
2015,Tom Brady,38,2504211,QB
2015,Matthew Stafford,37,79860,QB
2015,Eli Manning,34,2505996,QB
2015,Colin Kaepernick,24,2495186,QB
2015,Sam Bradford,20,497095,QB
2015,Carson Palmer,19,2505245,QB
2015,Alex Smith,19,2506340,QB
2015,Joe Flacco,17,382,QB
2015,Andy Dalton,17,2495143,QB
2015,Teddy Bridgewater,17,2543465,QB
2015,Marcus Mariota,17,2552466,QB
2015,Jameis Winston,15,2552033,QB
2015,Jay Cutler,13,2495824,QB
2015,Derek Carr,9,2543499,QB
2015,Nick Foles,8,2532842,QB
2015,Robert Griffin III,5,2533033,QB
2015,Tyrod Taylor,4,2495240,QB
2015,Blake Bortles,4,2543477,QB
2015,Jimmy Garoppolo,4,2543801,QB
2015,Brian Hoyer,2,81294,QB
2015,Josh McCown,2,2505076,QB
2015,Ryan Fitzpatrick,2,2506581,QB
2015,Mark Sanchez,1,79858,QB
2015,Ryan Mallett,1,2495443,QB
2015,Adrian Peterson,59,2507164,RB
2015,Eddie Lacy,56,2540168,RB
2015,Le'Veon Bell,56,2540175,RB
2015,Jamaal Charles,55,925,RB
2015,Marshawn Lynch,53,2495663,RB
2015,C.J. Anderson,51,2540269,RB
2015,Matt Forte,50,234,RB
2015,Demarco Murray,41,2495207,RB
2015,Jeremy Hill,36,2543603,RB
2015,Lesean McCoy,29,79607,RB
2015,Alfred Blue,26,2543600,RB
2015,Justin Forsett,24,927,RB
2015,Mark Ingram,23,2495466,RB
2015,Frank Gore,19,2506404,RB
2015,Melvin Gordon,17,2552469,RB
2015,Lamar Miller,16,2533034,RB
2015,Latavius Murray,16,2541161,RB
2015,Carlos Hyde,15,2543743,RB
2015,Todd Gurley,14,2552475,RB
2015,Darren McFadden,13,284,RB
2015,Doug Martin,10,2532899,RB
2015,Ameer Abdullah,10,2552374,RB
2015,Rashad Jennings,9,71345,RB
2015,Andre Ellington,9,2539217,RB
2015,Jonathan Stewart,8,949,RB
2015,T.J. Yeldon,8,2552471,RB
2015,LeGarrette Blount,7,497149,RB
2015,C.J. Spiller,7,497204,RB
2015,Ryan Mathews,4,497188,RB
2015,Chris Ivory,4,2507999,RB
2015,Ronnie Hillman,4,2533437,RB
2015,Giovani Bernard,4,2540156,RB
2015,Alfred Blue,4,2543600,RB
2015,Tre Mason,3,2543502,RB
2015,Isaiah Crowell,3,2550189,RB
2015,Shane Vereen,2,2495473,RB
2015,Bishop Sankey,2,2543682,RB
2015,Tevin Coleman,2,2552453,RB
2015,Tevin Coleman,2,2552453,RB
2015,Theo Riddick,1,2540020,RB
2015,Khiry Robinson,1,2542022,RB
2015,David Cobb,1,2552376,RB
2015,Rob Gronkowski,37,497240,TE
2015,Jimmy Graham,30,497236,TE
2015,Greg Olsen,8,2495700,TE
2015,Travis Kelce,7,2540258,TE
2015,Zach Ertz,4,2540158,TE
